Permit Number	Permit Type	Permit Subtype	Status	Description	Site Address	Site APN	Applied Date	Issued Date	Finaled Date
2010-656356	PHOTOVOLTAIC	NULL	FINALED	PV	1634 CANDACE WY	31820055	12/2/2010	12/2/2010	1/18/2011
2010-656372	PHOTOVOLTAIC	NULL	FINALED	PV	1326 RICHARDSON AV	31806025	12/3/2010	12/3/2010	3/1/2011
2010-656424	DEMOLITION	NULL	FINALED	Demo	621 HARRINGTON AV	18941024	12/8/2010	12/8/2010	3/24/2011
2010-656429	SFD	NULL	FINALED	SFD	1065 LEONELLO AV	18919039	12/8/2010	2/7/2011	9/30/2011
2010-656430	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	630 DISTEL DR	17011067	12/8/2010	12/8/2010	12/29/2010
2010-656432	DEMOLITION	PARTIAL	FINALED	Demo-SW	731 W UNIVERSITY AV	17518058	12/9/2010	12/9/2010	7/26/2011
2010-656463	DEMOLITION	NULL	FINALED	Demo	559 CHERRY AV	16728013	12/15/2010	12/15/2010	1/11/2011
2010-656468	SFD	NULL	FINALED	SFD	787 EDGEWOOD LN	17518060	12/16/2010	5/26/2011	6/26/2012
2010-656474	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1500 OAKLEY DR	31812007	12/16/2010	12/16/2010	2/4/2011
2010-656498	PHOTOVOLTAIC	NULL	FINALED	PV	1995 DEODARA DR	34225041	12/22/2010	12/22/2010	3/1/2011
2010-656510	PHOTOVOLTAIC	NULL	FINALED	PV	721 ORANGE AV	17517068	12/27/2010	12/27/2010	5/23/2011
2010-656525	SFD	NULL	FINALED	New SFD	788 ORANGE AV	17518061	12/29/2010	11/14/2011	6/4/2013
2010-656526	SFD	NULL	FINALED	New SFD	1676 GRANT RD	31802022	12/30/2010	3/16/2011	10/19/2012
2010-656529	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	1644 RANDOLPH PARKWAY	31808024	12/30/2010	12/30/2010	1/14/2011
2011-656551	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	667 HOLLINGSWORTH DR	17020026	1/5/2011	1/5/2011	2/22/2011
2011-656555	DEMOLITION	NULL	FINALED	Demo	551 PALM AV	17516075	1/6/2011	1/6/2011	3/30/2011
2011-656576	DEMOLITION	NULL	FINALED	Interior Demo	235 FIRST ST	16739142	1/13/2011	1/13/2011	2/28/2011
2011-656577	DEMOLITION	NULL	FINALED	Interior Demo	359 STATE ST	16739142	1/13/2011	1/13/2011	2/28/2011
2011-656578	DEMOLITION	NULL	FINALED	Interior Demo	271 STATE ST	16739064	1/13/2011	1/13/2011	2/28/2011
2011-656579	DEMOLITION	NULL	FINALED	Interior Demo	379 STATE ST	16739142	1/13/2011	1/13/2011	2/28/2011
2011-656580	DEMOLITION	NULL	FINALED	Interior Demo	265 STATE ST	16739064	1/13/2011	1/13/2011	2/28/2011
2011-656603	PHOTOVOLTAIC	NULL	FINALED	PV	1949 ALFORD AV	31815052	1/20/2011	1/20/2011	2/2/2011
2011-656627	DEMOLITION	NULL	FINALED	Demo	1065 LEONELLO AV	18919039	1/26/2011	1/26/2011	1/31/2011
2011-656654	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	659 KINGSWOOD WY	16723063	1/31/2011	1/31/2011	2/15/2011
2011-656657	PHOTOVOLTAIC	NULL	FINALED	PV	60 DOUD DR	17030038	1/31/2011	1/31/2011	3/22/2011
2011-656696	PHOTOVOLTAIC	NULL	FINALED	PV	1525 SIESTA DR	19717032	2/4/2011	2/4/2011	3/15/2011
2011-656698	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	100 PINE LN	16728018	2/4/2011	2/4/2011	3/3/2011
2011-656699	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	1396 MORTON AV	31811014	2/4/2011	2/4/2011	2/15/2011
2011-656723	DEMOLITION	NULL	FINALED	Demo	671 BENVENUE AV	18938073	2/11/2011	2/11/2011	2/23/2011
2011-656734	PHOTOVOLTAIC	NULL	FINALED	PV	1271 VIA HUERTA	34228031	2/17/2011	2/17/2011	4/29/2011
2011-656739	SFD	NULL	FINALED	New SFD	649 MILLS AV	18934021	2/18/2011	5/12/2011	11/30/2011
2011-656742	DEMOLITION	NULL	FINALED	Demo	594 CAMELLIA WY	18935050	2/18/2011	2/18/2011	3/11/2011
2011-656744	DEMOLITION	NULL	FINALED	Demo	1061 GOLDEN WY	18910036	2/22/2011	2/22/2011	3/1/2011
2011-656747	DEMOLITION	NULL	FINALED	Demo	49 SYLVIAN WY	16729028	2/22/2011	2/22/2011	2/24/2011
2011-656754	SFD	NULL	FINALED	New SFD	1960 NOEL DR	34225062	2/23/2011	6/3/2011	6/25/2012
2011-656765	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	1041 ESTRELLITA WY	16714005	2/25/2011	2/25/2011	3/14/2011
2011-656780	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	355 ALICIA WY	17022055	3/2/2011	3/2/2011	4/1/2011
2011-656781	PHOTOVOLTAIC	NULL	FINALED	PV	1625 AUSTIN AV	31808004	3/2/2011	3/2/2011	4/1/2011
2011-656787	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	440 SAN DOMINGO WY	16745025	3/4/2011	3/4/2011	3/15/2011
2011-656789	PHOTOVOLTAIC	NULL	FINALED	PV	1490 OAK AV	19714024	3/4/2011	3/4/2011	4/21/2011
2011-656800	DEMOLITION	NULL	ISSUED	Int Demo	148 SECOND ST	16739033	3/7/2011	3/7/2011	NULL
2011-656802	SFD	NULL	FINALED	New SFD	1832 ALFORD AV	31817027	3/8/2011	5/6/2011	12/30/2011
2011-656811	SFD	NULL	FINALED	New SFD	222 ALVARADO AV	17015041	3/10/2011	8/17/2011	7/17/2013
2011-656813	DEMOLITION	NULL	FINALED	Demo/TPP	774 ORANGE AV	17518008	3/10/2011	3/10/2011	3/28/2011
2011-656814	PHOTOVOLTAIC	NULL	FINALED	PV	259 VERANO DR	17021053	3/11/2011	3/11/2011	5/23/2011
2011-656815	PHOTOVOLTAIC	NULL	FINALED	PV	15 N EL MONTE AV	18935027	3/11/2011	3/11/2011	7/26/2011
2011-656819	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	463 LOS PAJAROS CT	18950014	3/11/2011	3/11/2011	4/7/2011
2011-656822	DEMOLITION	NULL	FINALED	Demo	461 MARICH WY	17004005	3/14/2011	3/14/2011	3/17/2011
2011-656831	PHOTOVOLTAIC	NULL	FINALED	PV	1511 BEN ROE DR	31809050	3/16/2011	3/16/2011	7/27/2011
